Strategy,Query,Latency,Recall,Groundedness,Hallucination,Details
Hybrid (Ensemble),Կարո՞ղ է ոստիկանը առանց թույլտվության մտնել բնակար...,12.99,1.0,0.818,0.182,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9368852615356446), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Բնակարանի զննումը, այնտեղ դատավարական այլ գործողություններ կատարելը, ինչպես նաև տեխնիկական միջոցների գործադրմամբ մուտք գործելը բնակվողների կամքին հակառակ կարող է իրականացվել հետաքննության մարմնի (որի կազմում գործում է ոստիկանությունը), քննիչի կամ դատախազի որոշմամբ:', 'Բնակարանի խուզարկությունը կարող է իրականացվել բացառապես դատարանի որոշմամբ՝ սահմանված կարգով:', 'ՀՀ ՔՐԵԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՅԱՆ ՕՐԵՆՍԳԻՐՔ (1).pdf, Հոդված 12'], 'grounded': False}}"
Hybrid (Ensemble),Որո՞նք են ամուսնալուծության հիմքերը դատական ​​կարգ...,11.02,1.0,0.864,0.136,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9472351431846618), 'claims_checked': 5, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Անգործունակ ամուսնու խնամակալի դիմումը ներկայացված է որպես դատական կարգով ամուսնալուծության հիմք, սակայն տրամադրված տեքստի համաձայն՝ դատական կարգով ամուսնալուծության հիմքերը սահմանափակվում են միայն ա, բ և գ կետերով, իսկ խնամակալի դիմումը նշված է որպես ամուսնության դադարման ընդհանուր հիմք'], 'grounded': False}}"
Hybrid (Ensemble),Ի՞նչ տուգանք է նախատեսված կարմիր լույսի տակով անցն...,4.93,1.0,0.92,0.08,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9395302981138229), 'claims_checked': 4, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ովքե՞ր ունեն զինվորական ծառայությունից տարկետման ի...,8.63,0.0,0.914,0.086,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9287858605384827), 'claims_checked': 1, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Հնարավո՞ր է արդյոք բողոքարկել վարչական ակտը դատարա...,8.93,1.0,0.873,0.127,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9059198379516602), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ի՞նչ է նշանակում անմեղության կանխավարկած:,11.89,1.0,0.908,0.092,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9352421522140503), 'claims_checked': 5, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['ՀՀ ՍԱՀՄԱՆԱԴՐՈՒԹՅՈՒՆ, Հոդված 66', 'ողջամիտ կասկածները'], 'grounded': False}}"
Hybrid (Ensemble),Ինչպե՞ս գրանցել ՍՊԸ Հայաստանում:,9.21,1.0,0.869,0.131,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.8974613149960836), 'claims_checked': 3, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ո՞ր դեպքերում է թույլատրվում արտաժամյա աշխատանքը:,10.38,1.0,0.862,0.138,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9030389904975891), 'claims_checked': 5, 'llm_verification': {'score': 0.7, 'hallucinated_claims': ['Հղի կանայք և մինչև մեկ տարեկան երեխա խնամող աշխատողները կարող են ներգրավվել արտաժամյա աշխատանքի միայն իրենց համաձայնությամբ:', 'Հաշմանդամություն ունեցող անձինք կարող են ներգրավվել, եթե դա նրանց արգելված չէ բժշկական եզրակացությամբ:'], 'grounded': False}}"
Hybrid (Ensemble),"Ի՞նչ իրավունքներ ունի սպառողը, եթե ապրանքը թերի է:",9.79,1.0,0.946,0.054,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9522358298301696), 'claims_checked': 5, 'llm_verification': {'score': 0.9, 'hallucinated_claims': ['Հոդված 534-ի 2-րդ կետի համաձայն՝ սպառողն իրավունք ունի ողջամիտ ժամկետում պահանջել անկոմպլեկտ ապրանքը փոխարինել կոմպլեկտայինով (իրականում այդ իրավունքը վերաբերում է մանրածախ վաճառք իրականացնողին, ով մատակարարից պահանջում է փոխարինել սպառողի կողմից արդեն իսկ վերադարձված ապրանքը)։'], 'grounded': False}}"
Hybrid (Ensemble),Որքա՞ն է եկամտային հարկի դրույքաչափը 2025 թվականին...,6.5,1.0,0.966,0.034,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9320776462554932), 'claims_checked': 2, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ինչպե՞ս ստանալ կենսաթոշակ:,9.19,0.0,0.673,0.327,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9079123616218567), 'claims_checked': 5, 'llm_verification': {'score': 0.33, 'hallucinated_claims': ['Դատապարտյալների համար. Դատապարտյալներին կենսաթոշակի նշանակումը, վճարումն ու ստացումն իրականացվում են օրենսդրությամբ սահմանված կարգով և դեպքերում [Աղբյուր՝ ՀՀ ՔՐԵԱԿԱՏԱՐՈՂԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf]', 'Տարիքային սահմանափակումներ և աշխատանքային իրավունք. Օրենսդրությունը սահմանում է տարիքային որոշակի շեմեր կենսաթոշակի իրավունքի հետ կապված. Տարիքային կենսաթոշակի իրավունք ունեցող անձանց համար՝ 63 տարին լրանալը. Տարիքային կենսաթոշակի իրավունք չունեցող անձանց համար՝ 65 տարին լրանալը [Աղբյուր՝ ՀՀ ԱՇԽԱՏԱՆՔԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf]'], 'grounded': False}}"
Hybrid (Ensemble),Արդյո՞ք էլեկտրոնային ստորագրությունը իրավական ուժ ...,11.93,0.0,0.734,0.266,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9280703783035278), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': [""The source 'ՀՀ ՀԱՐԿԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf' and the associated claim that mandatory notifications are validated by an official's electronic signature are not present in the provided context."", ""The claim that authorized bodies confirm the 'legitimacy' (իրավաչափություն) of the signature use is not supported by the context, which instead refers to the confirmation of 'authenticity' (իսկություն).""], 'grounded': False}}"
Re-ranked (Innovation),Ինչպե՞ս է կարգավորվում աշխատանքային պայմանագրի լու...,12.63,1.0,0.781,0.219,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.922533106803894), 'claims_checked': 5, 'llm_verification': {'score': 0.4, 'hallucinated_claims': ['Աշխատողն իրավունք ունի լուծել պայմանագիրը՝ այդ մասին առնվազն 30 օր առաջ գրավոր ծանուցելով գործատուին (Հոդված 112):', 'Եթե լուծումը կապված է հիվանդության, աշխատանքային խեղման կամ գործատուի կողմից պայմանագրային պարտավորությունների չկատարման հետ, աշխատողը պետք է ծանուցի առնվազն 5 օր առաջ (Հոդված 112):', 'Գործատուն իրավունք ունի լուծել թե՛ անորոշ, թե՛ որոշակի ժամկետով կնքված պայմանագիրը նախքան ժամկետի լրանալը, օրինակ՝ կազմակերպության լուծարման դեպքում (Հոդված 113):', 'Գործատուն կարող է լուծել պայմանագիրը՝ աշխատողին առնվազն 10 օր առաջ գրավոր ծանուցելով (Հոդված 111):', 'Աշխատողը կարող է լուծել պայմանագիրը՝ գործատուին առնվազն 10 օր առաջ գրավոր ծանուցելով (Հոդված 111):', 'Եթե աշխատողը չի ծանուցել և վերջին աշխատանքային օրվան հաջորդող օրը դուրս չի եկել աշխատանքի, պայմանագիրը համարվում է լուծված (Հոդված 111):', 'Եթե այս ժամկետում (7 օր) պատասխան չի տրվում, առաջարկը համարվում է մերժված (Հոդված 110-ի տեքստը կիսատ է տրամադրված կոնտեքստում):'], 'grounded': False}}"
Re-ranked (Innovation),Որո՞նք են հարկային պարտավորության կատարման ժամկետն...,9.89,1.0,0.812,0.188,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9248996257781983), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Հարկաձին հաշվարկները պեպք է ներկայացվեն Օրենսգրքով կամ վճարների վերաբերյալ ՀՀ օրենքներով սահմանված ժամկեպներում: Այդ ժամկեպներից մուշացնելու դեպքում կիրառվում են պուգանքներ [Հոդված 402, մաս 1]', 'Ֆիզիկական անձանց համար (ովքեր ԱՁ կամ նոպար չեն). Այս անձանց դեպքում ժամկեպների խախպման համար պուգանքի հաշվարկը սկսվում ե հարկաձին պարպավորության մեծությունն արպահայպող վարչական ակպի ամսաթվից [Հոդված 402, մաս 1]'], 'grounded': False}}"
Re-ranked (Innovation),Կարո՞ղ է արդյոք գործատուն միակողմանի փոփոխել պայմա...,18.25,1.0,0.786,0.214,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9312375783920288), 'claims_checked': 5, 'llm_verification': {'score': 0.4, 'hallucinated_claims': ['Գործատուի կողմից պայմանագիրը միակողմանի փոփոխելու վերաբերյալ ուղղակի լիազորություն նախատեսված չէ:', 'Գործատուն իրավունք ունի լուծելու (դադարեցնելու) աշխատանքային պայմանագիրը, եթե աշխատողների ներկայացուցչական մարմինը սահմանված ժամկետում պատասխան չի տալիս աշխատողին ազատելու համաձայնության վերաբերյալ հարցմանը [Աղբյուր՝ ՀՀ ԱՇԽԱՏԱՆՔԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf]:', 'Պայմանագրի փոփոխման պահանջը կողմը կարող է ներկայացնել դատարան միայն այն դեպքում, երբ ստացել է մյուս կողմի մերժումը կամ սահմանված ժամկետում (կամ 30-օրյա ժամկետում) պատասխան չի ստացել փոփոխություն կատարելու առաջարկի վերաբերյալ [Աղբյուր՝ ՀՀ ՔԱՂԱՔԱՑԻԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf, Հոդված 468]:'], 'grounded': False}}"
Re-ranked (Innovation),Ի՞նչ պատասխանատվություն է նախատեսված ապօրինի ձեռնա...,12.22,1.0,0.777,0.223,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9139368414878846), 'claims_checked': 5, 'llm_verification': {'score': 0.4, 'hallucinated_claims': ['Հոդված 281-ի վերաբերյալ տեղեկատվությունը (Ապօրինի ձեռնարկատիրական գործունեություն) ներառված չէ տրամադրված փաստաթղթում:', 'Հոդված 285-ի մասով «մի խումբ անձանց կողմից, իշխանական լիազորությունների օգտագործմամբ կամ առանձնապես խոշոր վնաս պատճառելու» վերաբերյալ մանրամասները բացակայում են տեքստից:', '«2. Հարկային պատասխանատվություն» բաժինը և ՀՀ հարկային օրենսգրքի 407-րդ հոդվածի վերաբերյալ ամբողջ տեղեկատվությունը բացակայում է տրամադրված համատեքստից:', '«[Source: ՀՀ ՀԱՐԿԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf]» աղբյուրը տրամադրված չէ:'], 'grounded': False}}"
Re-ranked (Innovation),Ինչպե՞ս պատրաստել պիցցա:,17.71,0.0,0.661,0.339,"{'citation_grounding': 0.3, 'nli_entailment': np.float64(0.9028564691543579), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['The provided documents include «ՀՀ ՔՐԵԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՋԱՆ ՕՐԵՆՍԳԻՐՔ» (RA Criminal Procedure Code).', 'The provided documents include «ՀՀ ՔԱՂԱՔԱՑԻԱԿԱՆ ՕՐԵՆՍԳԻՐՔ» (RA Civil Code).', 'The documents cover the rights and duties of the court session secretary (ԴԱՏԱԿԱՆ ՆԻՍՏԻ ՔԱՐՏՈՒՂԱՐԻ ԻՐԱՎՈՒՆՔՆԵՐԻՆ ԵՎ ՊԱՐՏԱԿԱՆՈՒԹՋՈՒՆՆԵՐԻՆ).', 'The documents cover contractual bases for design and research work (Ղախագծաձին և հետազոտական աշխատանքների կատարման պաձմանագրաձին հիմքերին).'], 'grounded': False}}"
Re-ranked (Innovation),Ի՞նչ է հանցակցությունը ՀՀ քրեական օրենսգրքով:,7.53,1.0,0.892,0.108,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9344439148902893), 'claims_checked': 5, 'llm_verification': {'score': 0.75, 'hallucinated_claims': ['Քրեական օրենքով նախատեսված արարքը համարվում է Հայաստանի Հանրապետության տարածքում կատարված նաև այն դեպքում, երբ Հայաստանի Հանրապետությունում գտնվելու ժամանակ անձը հանցակցել է Հայաստանի Հանրապետության տարածքից դուրս հանցանք կատարելուն'], 'grounded': False}}"
Re-ranked (Innovation),Ո՞րն է նվազագույն աշխատավարձի չափը Հայաստանում 202...,8.28,1.0,0.753,0.247,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.926223412156105), 'claims_checked': 4, 'llm_verification': {'score': 0.3, 'hallucinated_claims': ['ՀՀ քրեական օրենսգիրքը սահմանում է, որ նվազագույն աշխատավարձը «Նվազագույն ամսական աշխատավարձի մասին» օրենքով սահմանված նվազագույն ամսական աշխատավարձի չափն է (կետ 7):', 'Վարչական իրավախախտումների վերաբերյալ ՀՀ օրենսգիրքը նախատեսում է տուգանքներ... չորսհազարապատիկի չափով:', 'Աղբյուր՝ [Source: ՀՀ ՔՐԵԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf]'], 'grounded': False}}"
Re-ranked (Innovation),Ինչպե՞ս է կատարվում ժառանգության ընդունումը:,10.3,1.0,0.905,0.095,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9290873408317566), 'claims_checked': 5, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Ժառանգության իրավունքի փոխանցումը (Հոդված 1229). Եթե ժառանգը մահանում է ժառանգության բացումից հետո և չի հասցնում այն ընդունել, ապա նրան հասանելիք ժառանգությունն ընդունելու իրավունքն անցնում է նրա ժառանգներին (ժառանգության տրանսմիսիա):', 'Աղբյուրների ցանկում նշված Հոդված 1229-ը բացակայում է տրամադրված համատեքստից:'], 'grounded': False}}"
Re-ranked (Innovation),Կարո՞ղ է ոստիկանը առանց թույլտվության մտնել բնակար...,11.89,1.0,0.843,0.157,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9264959692955017), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': [""Անշարժ գույքի օրինական տիրապետողն իրավունք ունի լիազորելու ոստիկանությանը՝ իր անունից կատարելու գործողություններ՝ տարածք ապօրինի ներխուժումը կանխելու կամ վերացնելու ուղղությամբ (The provided context for the Civil Code is incomplete and ends at 'լիազորելու', without mentioning the police or the specific purpose of authorization)."", 'Եթե պրոբացիայի ծառայողը դատապարտյալին չի հայտնաբերում նրա բնակության վայրում, ոստիկանությունն իր իրավասության շրջանակներում միջոցներ է ձեռնարկում դատապարտյալին հայտնաբերելու ուղղությամբ (The provided context for the Criminal Executive Code only discusses revoking movement rights and does not mention probation or searching for convicts).'], 'grounded': False}}"
Re-ranked (Innovation),Որո՞նք են ամուսնալուծության հիմքերը դատական ​​կարգ...,10.34,1.0,0.845,0.155,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9305651783943176), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Ամուսինների ընդհանուր գույքի բաժանումը', 'Անաշխատունակ անապահով ամուսնու ապրուստի միջոցը հոգալու վերաբերյալ հարցերը', 'Երեխաների պատճառով ծագող վեճերը (օրինակ՝ ում հետ են ապրելու երեխաները, ալիմենտի չափը և այլն)', 'Հոդված 15, կետ 3-ի բովանդակությունը'], 'grounded': False}}"
Re-ranked (Innovation),Ի՞նչ տուգանք է նախատեսված կարմիր լույսի տակով անցն...,10.13,1.0,0.916,0.084,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9321028391520182), 'claims_checked': 3, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Re-ranked (Innovation),Ովքե՞ր ունեն զինվորական ծառայությունից տարկետման ի...,7.34,0.0,0.616,0.384,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9313085079193115), 'claims_checked': 4, 'llm_verification': {'score': 0.0, 'hallucinated_claims': ['Համաձայն տեքստի՝ ՀՀ քրեական օրենսգրքի 461-րդ հոդվածի 1-ին մասը միայն նշում է, որ տարկետման իրավունքը սահմանվում է օրենսդրությամբ սահմանված հիմքերով։', 'Մասնավորապես, նշվում է, որ քրեական պատասխանատվություն է առաջանում պարտադիր զինվորական կամ այլընտրանքային ծառայության զորակոչից խուսափելու համար, եթե բացակայում են «այդ զորակոչից տարկետում ստանալու կամ ծառայությունից ազատվելու՝ օրենսդրությամբ սահմանված հիմքերը»։', 'Աղբյուր՝ ՀՀ ՔՐԵԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf, Հոդված 461'], 'grounded': False}}"
Re-ranked (Innovation),Հնարավո՞ր է արդյոք բողոքարկել վարչական ակտը դատարա...,10.08,1.0,0.762,0.238,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9233882784843445), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Վարչական իրավախախտման վերաբերյալ գործի որոշումը կարող է բողոքարկվել նաև դատախազի կողմից [Աղբյուր՝ ՎԱՐՉԱԿԱՆ ԻՐԱՎԱԽԱԽՏՈՒՄՆԵՐԻ ՎԵՐԱԲԵՐՅԱԼ ՀՀ ՕՐԵՆՍԳԻՐՔ.pdf, Հոդված 289]', 'Օրենքով նախատեսված դեպքերում դատարան կարող են դիմել նաև ընտրություններին մասնակցող կուսակցությունները, դաշինքները, թեկնածուները, դիտորդական առաքելություն իրականացնող հասարակական կազմակերպությունները և հանրաքվեի քարոզչության կողմը [Աղբյուր՝ ՀՀ ՎԱՐՉԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՅԱՆ ՕՐԵՆՍԳԻՐՔ.pdf]'], 'grounded': False}}"
Re-ranked (Innovation),Ի՞նչ է նշանակում անմեղության կանխավարկած:,11.57,1.0,0.874,0.126,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9276517748832702), 'claims_checked': 5, 'llm_verification': {'score': 0.7, 'hallucinated_claims': ['Հոդված 365', 'հանրային քրեական հետապնդման դեպքում՝ դատախազը, իսկ մինչդատական վարույթում՝ նաև քննիչը', 'ողջամիտ կասկածները'], 'grounded': False}}"
Re-ranked (Innovation),Ինչպե՞ս գրանցել ՍՊԸ Հայաստանում:,16.27,1.0,0.721,0.279,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9019717335700989), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Լուծարվող կազմակերպությունների՝ հարկային մարմնում հաշվառումից հանելու և պետական ռեգիստրի գործակալության հետ տեղեկատվության փոխանակման կարգին [Աղբյուր՝ ՀՀ ՀԱՐԿԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf]', 'Լիազորված տնտեսական օպերատորների ռեեստրի վարմանը և թարմացմանը [Աղբյուր՝ ԵՎՐԱՍԻԱԿԱՆ ՏՆՏԵՍԱԿԱՆ ՄԻՈՒԹՅԱՆ ՄԱՔՍԱՅԻՆ ՕՐԵՆՍԳԻՐՔԸ.pdf]'], 'grounded': False}}"
Re-ranked (Innovation),Ո՞ր դեպքերում է թույլատրվում արտաժամյա աշխատանքը:,15.45,1.0,0.749,0.251,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.898699152469635), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Բեռնման կամ բեռնաթափման աշխատանքների դեպքում՝ տրանսպորտային միջոցների պարապուրդը կանխելու կամ վերացնելու, ինչպես նաև կազմակերպության պահեստներն ազատելու համար:', 'Երբ առկա է գործատուի պայմանագրային պարտավորությունների անհապաղ կատարման անհրաժեշտություն:', 'Հղի կանայք և մինչև մեկ տարեկան երեխա խնամող աշխատողները կարող են ներգրավվել արտաժամյա աշխատանքի միայն իրենց համաձայնությամբ:', 'Հաշմանդամություն ունեցող անձինք կարող են ներգրավվել, եթե դա նրանց արգելված չէ բժշկական եզրակացությամբ:'], 'grounded': False}}"
Re-ranked (Innovation),"Ի՞նչ իրավունքներ ունի սպառողը, եթե ապրանքը թերի է:",11.81,1.0,0.816,0.184,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9316457509994507), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Գնորդն իրավունք ունի հրաժարվել մանրածախ առուվաճառքի պայմանագիրը կատարելուց և պահանջել վերադարձնելու ապրանքի համար վճարված գումարը (այս դեպքում գնորդը պետք է վերադարձնի անորակ ապրանքը վաճառողի հաշվին):', 'Մանրածախ վաճառք իրականացնող գնորդն իրավունք ունի ողջամիտ ժամկետում պահանջել սպառողի վերադարձրած անկոմպլեկտ ապրանքը փոխարինել կոմպլեկտայինով (Հոդված 534):', 'Պատասխանատու պահպանություն (Հոդված 529). Եթե գնորդը հրաժարվում է մատակարարի հանձնած ապրանքից, նա պարտավոր է ապահովել դրա պահպանությունը և տեղեկացնել մատակարարին: Մատակարարը պարտավոր է հատուցել գնորդի կատարած անհրաժեշտ ծախսերը՝ կապված ապրանքը պահպանելու, իրացնելու կամ վերադարձնելու հետ:'], 'grounded': False}}"
Re-ranked (Innovation),Որքա՞ն է եկամտային հարկի դրույքաչափը 2025 թվականին...,11.02,1.0,0.785,0.215,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9297278920809428), 'claims_checked': 3, 'llm_verification': {'score': 0.4, 'hallucinated_claims': ['2025 թվականի համար եկամտային հարկի դրույքաչափի վերաբերյալ տեղեկատվությունը', '2025 թվականին այն [եկամտային հարկը] կազմում է 20 տոկոս', 'անշարժ գույքի հարկը 2025 թվականի համար հաշվարկվում է 75 տոկոսի չափով՝ համաձայն 233-րդ հոդվածի'], 'grounded': False}}"
Re-ranked (Innovation),Ինչպե՞ս ստանալ կենսաթոշակ:,13.56,0.0,0.792,0.208,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9242728471755981), 'claims_checked': 5, 'llm_verification': {'score': 0.7, 'hallucinated_claims': ['Հարկման բազան որոշելիս համախառն եկամտից չեն նվազեցվում կամավոր կենսաթոշակային վճարների այն մասը, որը գերազանցում է աշխատավարձի 7.5 տոկոսը (վարձու աշխատողի դեպքում) կամ հարկման բազայի 5 տոկոսը (անհատ ձեռնարկատիրոջ կամ նոտարի դեպքում)'], 'grounded': False}}"
Re-ranked (Innovation),Արդյո՞ք էլեկտրոնային ստորագրությունը իրավական ուժ ...,13.19,0.0,0.717,0.283,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.8944995880126954), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['ՀՀ վարչական դատավարության օրենսգրքի 64.1-ին հոդվածի վերաբերյալ պնդումը և համապատասխան փաստաթղթի (ՀՀ ՎԱՐՉԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՅԱՆ ՕՐԵՆՍԳԻՐՔ.pdf) առկայությունը համատեքստում:', '«էլեկտրոնային ապացույցների ձևավորում (տրամադրում) երրորդ կողմի համար» ձևակերպումը և «ԵՎՐԱՍԻԱԿԱՆ ՄԻՋԿԱՌԱՎԱՐԱԿԱՆ ԽՈՐՀՐԴԻ ՈՐՈՇՈՒՄԸ ԱՆԴՐՍԱՀՄԱՆԱՅԻՆ ՏԵՂԵԿԱՏՎԱԿԱՆ ՓՈԽԳՈՐԾԱԿՑՈՒԹՅԱՆ ՀԱՅԵՑԱԿԱՐԳԻ ՄԱՍԻՆ.pdf» փաստաթղթի հղումը:'], 'grounded': False}}"
